,0
10,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:14A::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Denmark:11', 'Finland:K-12', 'France:Tous publics::(with warning)', 'Germany:12', 'Hong Kong:IIB', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Indonesia:17+::(DVD rating)', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:R-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG13', 'South Africa:10-12', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:13', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C16']"
11,"['Argentina:16', 'Australia:M', 'Austria:12', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:G::(Québec)', 'Chile:18', 'Denmark:11', 'Finland:K-16', 'Finland:K-12', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:12', 'India:A', 'Ireland:15A', 'Italy:T', 'Japan:R15+', 'Lithuania:N-16', 'Malaysia:(Banned)', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:9::(cinema rating)', 'Philippines:R-16', 'Portugal:M/14', 'Russia:18+', 'Singapore:R21', 'South Africa:16', 'South Korea:18', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-15', 'Thailand:18', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C16::(2016, edited)', 'Vietnam:C18::(self-applied)']"
12,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Brazil:16', 'Bulgaria:D', 'Canada:18A', 'Canada:14A::(Alberta)', 'Canada:18A::(British Columbia)', 'Canada:18A::(Manitoba)', 'Canada:14A::(Nova Scotia)', 'Canada:13+::(Quebec)', 'Canada:18A::(Saskatchewan)', 'Chile:14', 'Colombia:12', 'Czech Republic:15', 'Denmark:15', 'Ecuador:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Greece:K-16', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:16', 'India:A', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Israel:16', 'Italy:VM14', 'Japan:R15+', 'Lithuania:N-16', 'Luxembourg:16', 'Malaysia:18', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15', 'Peru:14', 'Philippines:R-16', 'Poland:15', 'Portugal:M/16', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Sweden:15::(DVD and Blu-ray rating)', 'Switzerland:16', 'Taiwan:R-15', 'Thailand:18', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:(Banned)']"
13,"['Argentina:13', 'Australia:MA15+', 'Canada:14A::(British Columbia)', 'Canada:13+::(Quebec)', 'Denmark:7::(DVD rating)', 'Finland:K-12::(DVD rating)', 'Germany:12', 'Ireland:15A', 'Lithuania:N-16', 'Mexico:B15', 'Netherlands:12', 'New Zealand:R13', 'Norway:11::(DVD rating)', 'Philippines:R-13', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'Singapore:NC16', 'South Africa:16', 'South Korea:18', 'Spain:16', 'Sweden:11', 'United Kingdom:15', 'United States:R']"
14,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Chile:TE', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Russia:16+::(DVD rating)', 'Singapore:PG13', 'South Africa:10-12', 'South Africa:7-9::(video)', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
15,"['Argentina:13', 'Australia:M', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lebanon:(Banned)', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Peru:Apt', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'Slovakia:12', 'South Africa:10', 'South Africa:10-12::(video)', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:13', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
16,"['Argentina:16', 'Australia:MA15+', 'Canada:14A', 'Canada:13+::(Québec)', 'Chile:14', 'Czech Republic:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15::(DVD rating)', 'Philippines:R-16', 'Portugal:M/16', 'Russia:(Banned)::(theatrical rating)', 'Russia:18+::(video rating)', 'Singapore:M18', 'South Korea:18', 'Spain:16', 'Sweden:15', 'Switzerland:14', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
17,"['Argentina:13::(with warning)', 'Australia:M', 'Brazil:12', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Finland:K-16', 'France:Tous publics::(with warning)', 'Germany:16', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Italy:T', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:15', 'Philippines:PG-13', 'Portugal:M/16', 'Russia:16+', 'Singapore:PG13', 'South Africa:13', 'South Africa:10::(DVD rating)', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:15', 'Switzerland:16', 'Thailand:13', 'United Kingdom:15', 'United States:TV-MA::(TV rating)', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C16']"
18,"['Argentina:13', 'Australia:PG', 'Austria:12', 'Brazil:10', 'Canada:PG::(Alberta/British Columbia/Ontario)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:7', 'Denmark:11', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'India:UA', 'Indonesia:13+', 'Ireland:PG', 'Italy:T::(DVD rating)', 'Japan:G', 'Lithuania:N-7', 'Malaysia:P13', 'Mexico:A', 'Netherlands:9', 'New Zealand:PG', 'Norway:9::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'South Africa:10', 'South Africa:10-12::(DVD rating)', 'South Korea:12', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Thailand:G', 'United Kingdom:PG', 'United Kingdom:PG', 'United States:PG']"
19,"['Argentina:Atp', 'Australia:PG', 'Brazil:12', 'Canada:G::(Alberta/British Columbia/Ontario/Quebec)', 'Canada:PG::(Manitoba/Nova Scotia)', 'Chile:TE', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:IIA', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:6', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Portugal:M/12', 'Singapore:PG13', 'South Africa:7-9', 'South Korea:12', 'Spain:A::(ICAA)', 'Sweden:7', 'Switzerland:0', 'Taiwan:PG-12', 'United Kingdom:PG', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
