,0
134,"['Argentina:16', 'Australia:MA15+', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:16', 'Bulgaria:C', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:14A::(Nova Scotia)', 'Canada:14A::(Ontario)', 'Canada:G::(Quebec)', 'Chile:14', 'Colombia:15', 'Czech Republic:12', 'Denmark:11', 'Ecuador:12::(Guayaquil)', 'Ecuador:12::(Loja)', 'Ecuador:15::(Quito)', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Greece:K-15', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:12', 'India:A', 'Ireland:15A', 'Israel:16', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Luxembourg:12', 'Malaysia:18', 'Malta:15', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Peru:14', 'Philippines:R-13', 'Poland:15', 'Portugal:M/16', 'Russia:18+', 'Singapore:R21', 'South Africa:16', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:7', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:18', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
135,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Canada:14A::(British Columbia)', 'Denmark:15::(DVD and Blu-ray rating)', 'Finland:K-16::(DVD and Blu-ray rating)', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Malaysia:18', 'Malta:15', 'Netherlands:16', 'Norway:15::(DVD and Blu-ray rating)', 'Philippines:R-16', 'Portugal:M/16', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16::(TV rating)', 'Sweden:15::(DVD and Blu-ray rating)', 'Switzerland:16', 'Taiwan:R-18', 'Thailand:15', 'United Kingdom:15', 'United States:R']"
136,"['Argentina:Atp', 'Australia:M', 'Austria:6', 'Brazil:10', 'Canada:14A', 'Canada:R', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:7', 'Finland:K-7', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIA', 'Hungary:12', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:AL', 'New Zealand:M', 'Norway:A::(cinema rating)', 'Portugal:M/12', 'Russia:18+', 'Singapore:PG13', 'South Africa:13', 'South Africa:10-12::(DVD rating)', 'South Korea:12', 'Spain:7', 'Sweden:Btl', 'Switzerland:12', 'Taiwan:PG-12', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
137,"['Argentina:Atp', 'Australia:G', 'Austria:0', 'Belgium:KT/EA', 'Brazil:Livre', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Greece:K', 'Hong Kong:I', 'Hungary:6', 'Iceland:L', 'India:UA', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Luxembourg:A', 'Malaysia:U', 'Malta:U', 'Mexico:A', 'Netherlands:6', 'New Zealand:G', 'Nigeria:G', 'Norway:7::(cinema rating)', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A::(ICAA)', 'Sweden:7', 'Switzerland:6', 'Taiwan:GP', 'Thailand:G', 'Turkey:G', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-PG::(TV rating)', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
138,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:14', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:14', 'Denmark:11', 'Finland:K-12', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:12', 'India:UA', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/14', 'Russia:16+', 'Singapore:PG13', 'Singapore:M18::(DVD rating)', 'South Africa:10-12', 'South Africa:13::(DVD rating)', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-15', 'Thailand:15', 'United Kingdom:12A', 'United Kingdom:PG-13', 'United States:PG-13', 'Vietnam:C16']"
139,"['Argentina:Atp', 'Australia:PG', 'Austria:0', 'Belgium:KT/EA', 'Brazil:Livre', 'Canada:G', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Greece:K', 'Hong Kong:I', 'Hungary:6', 'Hungary:12', 'Iceland:L', 'India:U', 'Indonesia:SU', 'Ireland:G', 'Ireland:G::(Blu-ray rating)', 'Ireland:G::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Malaysia:U', 'Mexico:AA', 'Netherlands:AL', 'New Zealand:G', 'Norway:7::(cinema rating)', 'Philippines:PG-13', 'Poland:b.o.', 'Portugal:M/6', 'Puerto Rico:PG', 'Romania:A.G.', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:6', 'Thailand:G', 'Turkey:G', 'United Kingdom:U', 'United Kingdom:U::(Blu-ray rating)', 'United Kingdom:U::(DVD rating)', 'United States:TV-G', 'United States:TV-PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
140,"['Australia:M', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:G::(Quebec)', 'Finland:K-12', 'Germany:12', 'Hong Kong:IIB', 'Ireland:15A', 'Netherlands:9', 'New Zealand:M', 'Norway:7::(cinema rating)', 'Singapore:NC16', 'South Africa:13', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:Btl', 'Switzerland:16', 'United Kingdom:15', 'United States:R']"
141,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Brazil:16', 'Canada:14A::(Alberta/British Columbia)', 'Canada:18A::(Ontario)', 'Canada:16+::(Quebec)', 'Canada:13+::(Quebec)', 'Chile:TE+7', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Greece:K-16', 'Hong Kong:IIB', 'Hungary:18', 'India:A::(self-applied)', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:PG12', 'Lithuania:N-13', 'Malaysia:18', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R15', 'Norway:15::(cinema rating)', 'Philippines:R-16', 'Portugal:M/16', 'Russia:18+', 'Singapore:M18', 'South Africa:16', 'South Africa:18::(DVD)', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-15', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:R']"
142,"['Argentina:Atp::(with warning)', 'Australia:PG', 'Austria:8', 'Belgium:KT/EA', 'Brazil:10', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Finland:K-12', 'France:Tous publics avec avertissement', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIA', 'India:UA', 'Indonesia:13+', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:N-7', 'Luxembourg:6', 'Malaysia:P13', 'Malta:12A', 'Mexico:A', 'Netherlands:9', 'New Zealand:PG', 'Nigeria:12A', 'Norway:9::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'South Africa:10-12', 'South Korea:All', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Turkey:13A', 'United Kingdom:12A', 'United States:PG', 'Ukraine:12', 'Vietnam:C13']"
143,"['Argentina:Atp', 'Australia:PG', 'Austria:6', 'Brazil:10', 'Canada:PG::(British Columbia)', 'Chile:TE', 'Colombia:7', 'Denmark:11', 'Finland:K-7/4::(original theatrical rating)', 'Finland:K-12/9', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:L', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:9', 'New Zealand:PG', 'Norway:9::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Singapore:PG', 'South Africa:10', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United States:TV-PG', 'United States:PG-13', 'Vietnam:C13', 'Vietnam:P']"
144,"['Australia:M', 'Brazil:14', 'Colombia:12', 'Germany:12', 'Hungary:16', 'Italy:T', 'Japan:G', 'Mexico:B', 'Netherlands:12', 'Norway:12::(TV rating)', 'Portugal:M/14', 'Singapore:PG13', 'South Korea:15', 'Spain:16::(ICAA)', 'Taiwan:R-15', 'Turkey:13+', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:16']"
145,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(Alberta/British Columbia/Ontario)', 'Canada:13+::(Quebec)', 'Chile:TE+7', 'Colombia:7', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:16', 'Iceland:12', 'India:UA', 'Indonesia:R', 'Ireland:12A', 'Ireland:12::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Singapore:PG13', 'South Africa:10-12', 'South Africa:13::(video)', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Vietnam:C13']"
146,"['Argentina:Atp', 'Australia:M', 'Austria:6', 'Belgium:KT/EA', 'Brazil:12', 'Bulgaria:C', 'Canada:PG::(Alberta/British Columbia/Manitoba/Saskatchewan)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Czech Republic:12', 'Denmark:A', 'Ecuador:12::(Quito)', 'Finland:S', 'France:Tous publics', 'Germany:0', 'Greece:K-12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:L', 'India:A', 'India:UA', 'Indonesia:17+', 'Ireland:12A', 'Ireland:12::(DVD rating)', 'Italy:T', 'Lithuania:N-13', 'Luxembourg:6', 'Malaysia:P13', 'Malta:12A', 'Mexico:A', 'Netherlands:AL', 'New Zealand:M', 'Nigeria:12A', 'Norway:A::(cinema rating)', 'Peru:14', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Serbia:12', 'Singapore:PG13', 'Slovakia:12', 'South Africa:16', 'South Korea:15', 'Spain:7::(ICAA)', 'Sweden:Btl', 'Switzerland:8', 'Taiwan:PG-12', 'Thailand:13', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
147,"['Australia:MA15+::(Netflix self-rating)', 'Canada:14A::(British Columbia)', 'Denmark:15::(DVD rating)', 'Finland:K-16::(DVD rating)', 'Germany:12', 'Ireland:16', 'Japan:R15+', 'Norway:15::(DVD rating)', 'Singapore:M18', 'South Korea:18', 'Sweden:15::(DVD rating)', 'United Kingdom:15', 'United States:R']"
148,"['Argentina:16', 'Australia:M', 'Austria:14', 'Belgium:KT/EA', 'Brazil:16', 'Bulgaria:C', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:14A::(Nova Scotia)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Czech Republic:15', 'Denmark:11', 'Ecuador:12::(Guayaquil)', 'Ecuador:15::(Quito)', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Greece:K-15', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:12', 'India:A', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Israel:16', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Luxembourg:12', 'Malaysia:18', 'Malta:15', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12', 'Peru:14', 'Philippines:R-13', 'Poland:15', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Africa:18', 'South Africa:16', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:15', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
149,"['Argentina:16', 'Australia:MA15+', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(British Columbia)', 'Chile:14', 'Denmark:15', 'Finland:K-16', 'France:Tous publics::(with warning)', 'Germany:16', 'Hong Kong:IIB', 'Hungary:12', 'Iceland:16', 'Indonesia:D', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15', 'Philippines:R-13', 'Portugal:M/14', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
150,['United Kingdom:PG']
151,"['Argentina:16', 'Australia:MA15+', 'Brazil:16', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Québec)', 'Chile:14', 'Finland:K-16', 'France:Tous publics::(with warning)', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Italy:T', 'Japan:R15+', 'Lithuania:N-16', 'Mexico:B-15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15::(cinema rating)', 'Philippines:R-16', 'Portugal:M/16', 'Singapore:NC16', 'Singapore:PG13', 'South Korea:18', 'South Korea:15', 'Spain:18', 'Sweden:15', 'Switzerland:14', 'Thailand:15', 'United Kingdom:15', 'United States:R']"
152,['United Kingdom:15']
153,"['Argentina:Atp', 'Australia:PG', 'Brazil:Livre', 'Canada:G::(British Columbia/Ontario)', 'Chile:TE', 'Colombia:T', 'Finland:K-7', 'France:Tous Public', 'Germany:0', 'Hong Kong:I', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Maldives:PG', 'Mexico:AA', 'Netherlands:6', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:G', 'South Africa:PG', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:0', 'Turkey:G', 'United Kingdom:U', 'United States:TV-G', 'United States:PG', 'Ukraine:ZA']"
154,"['Australia:MA15+', 'Brazil:16', 'Canada:14A', 'Canada:13+::(Quebec)', 'Denmark:15::(DVD and Blu-ray rating)', 'Finland:K-16::(DVD and Blu-ray rating)', 'France:12', 'Germany:16', 'Germany:18', 'Hungary:18', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:PG12', 'Malaysia:18', 'Netherlands:16', 'New Zealand:R18', 'Norway:15::(DVD and Blu-ray rating)', 'Philippines:R-18', 'Philippines:R-16', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Korea:18', 'Spain:16', 'Sweden:15::(DVD and Blu-ray rating)', 'Switzerland:16', 'Taiwan:R-12', 'Thailand:18', 'United Kingdom:15', 'United States:R']"
155,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:12', 'Brazil:14', 'Canada:14A', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba/Ontario)', 'Canada:G::(Quebec)', 'Chile:14', 'Colombia:7', 'Denmark:15', 'Finland:K-12', 'France:Tous publics::(avec avertissement)', 'Germany:12', 'Hong Kong:IIB', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Poland:15::(TV)', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG13', 'South Africa:13', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Vietnam:C16']"
156,"['Australia:M', 'Brazil:12', 'Finland:K-12', 'Germany:12', 'Hungary:16', 'Iceland:12', 'India:UA', 'Italy:T', 'Japan:G', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:15', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG', 'South Korea:15', 'United Kingdom:12', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
157,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:10', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:10', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Ireland:12::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:9', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'Slovakia:12', 'South Africa:10-12', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:15', 'Turkey:7+', 'United Kingdom:12A', 'United Kingdom:12::(video)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
158,"['Argentina:13::(with warning)', 'Australia:M', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Québec)', 'Chile:14', 'Finland:K-16', 'Germany:12', 'Greece:K-16', 'Hong Kong:IIB', 'Hungary:16', 'India:A', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Malaysia:18', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/12', 'Singapore:M18', 'South Africa:16', 'South Korea:15', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-15', 'United Kingdom:15', 'United States:R', 'Ukraine:12']"
159,['United States:Not Rated']
160,"['France:Tous publics', 'Germany:12', 'Switzerland:16', 'United States:R']"
161,"['Argentina:13', 'Australia:M', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta/British Columbia/Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:U', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-7', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:PG', 'Mexico:B', 'Mexico:A', 'Netherlands:12', 'New Zealand:M', 'Nigeria:G', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Russia:12+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:10-12', 'South Korea:12', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:TV-14::(L)', 'United States:TV-PG::(TV Rating)', 'United States:PG-13', 'Vietnam:C13']"
162,"['Argentina:Atp', 'Australia:G', 'Austria:6', 'Brazil:Livre', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Hungary:6', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Mexico:A', 'Netherlands:AL', 'New Zealand:G', 'Norway:7', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A/i::(ICAA)', 'Sweden:7', 'Switzerland:6', 'Taiwan:GP', 'United Kingdom:U', 'United Kingdom:PG::(iTunes rating)', 'United States:PG', 'Ukraine:ZA']"
163,"['Argentina:Atp::(with warning)', 'Australia:PG', 'Austria:6', 'Brazil:Livre', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Hungary:6', 'Hungary:12', 'India:U', 'Indonesia:SU', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Malaysia:U', 'Maldives:12+', 'Mexico:AA', 'Netherlands:6', 'Norway:7::(cinema rating)', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:G', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:0', 'Taiwan:GP', 'Thailand:G', 'United Kingdom:PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
164,"['Argentina:16', 'Australia:MA15+', 'Brazil:16', 'Canada:14A::(British Columbia)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'Germany:12', 'Hong Kong:IIB', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:R15+', 'Lithuania:N-16', 'Malaysia:(Banned)', 'Mexico:B-15', 'Netherlands:12', 'New Zealand:R16', 'Norway:A::(cinema rating)', 'Philippines:R-16', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Africa:16', 'South Korea:18', 'Spain:16', 'Sweden:Btl', 'Switzerland:14', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
165,"['Argentina:Atp', 'Australia:G', 'Brazil:Livre', 'Canada:G::(British Columbia)', 'Chile:TE', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Hungary:6', 'Iceland:L', 'India:U', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Malaysia:U', 'Maldives:PG', 'Mexico:AA', 'Netherlands:6', 'New Zealand:G', 'Norway:7', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:0', 'Taiwan:GP', 'Thailand:G', 'United Kingdom:U', 'United States:TV-G', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
166,"['Argentina:Atp', 'Australia:PG', 'Austria:6', 'Belgium:KT/EA', 'Brazil:Livre', 'Canada:G::(Ontario)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Ireland:G', 'Italy:T', 'Japan:G', 'Malaysia:P13', 'Maldives:12+', 'Mexico:A', 'Mongolia:PG', 'Netherlands:6', 'New Zealand:PG', 'Norway:7', 'Philippines:G', 'Portugal:M/6', 'Puerto Rico:PG', 'Russia:6+', 'Russia:12+::(video rating)', 'Singapore:PG', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:6', 'Thailand:G', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
167,"['Argentina:Atp::(with warning)', 'Australia:PG', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:G::(Quebec)', 'Canada:14A::(Ontario)', 'Canada:PG::(Ontario)', 'Chile:TE', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Ireland:12', 'Italy:T', 'Japan:G', 'Lithuania:N-7', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:PG', 'Nigeria:15', 'Norway:9::(cinema rating)', 'Peru:Apt', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Singapore:PG', 'Slovakia:12', 'South Africa:13', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:13', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
168,"['Argentina:Atp', 'Australia:PG', 'Austria:6', 'Belgium:KT/EA', 'Brazil:Livre', 'Canada:PG', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Greece:K', 'Hong Kong:I', 'Hungary:12', 'Iceland:L', 'India:U', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Malaysia:P13', 'Mexico:AA', 'Netherlands:6', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Philippines:PG-13', 'Poland:7', 'Portugal:M/6', 'Puerto Rico:PG', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A', 'Sweden:7', 'Switzerland:6', 'Taiwan:GP', 'Thailand:G', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
169,"['Argentina:Atp', 'Australia:G', 'Austria:6', 'Brazil:Livre', 'Canada:G::(Alberta)', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'India:UA', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Luxembourg:A', 'Malaysia:U', 'Mexico:AA', 'Netherlands:6', 'New Zealand:G', 'Norway:7', 'Philippines:PG-13', 'Portugal:M/6', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A', 'Sweden:Btl', 'Switzerland:6', 'Thailand:G', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-PG', 'United States:PG', 'Ukraine:ZA']"
