,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
184,tt2488496,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,136.0,"Action,Adventure,Fantasy","nm3915784, nm1209966, nm1727304",nm5397459,,nm0009190,,"nm0005086, nm1333357","nm0001410, nm1578335, nm0000184",PG-13,7.9,8.1,7.9,8.0,7.8,8.0,7.8,8.2,7.5,8.0,7.8,245000000,2068223624,245.0,2068.223624,8.441729077551022
185,tt2510894,Hotel Transylvania 2,Hotel Transylvania 2,2015,89.0,"Animation,Comedy,Family","nm0001191, nm1676221, nm0416673",nm1411125,nm0006205,nm0850733,nm0032310,nm0613740,"nm0806912, nm0244110",PG,6.6,7.0,6.7,6.8,6.6,6.7,6.5,7.0,6.2,6.6,6.6,80000000,474800000,80.0,474.8,5.9350000000000005
186,tt2513074,Billy Lynn's Long Halftime Walk,Billy Lynn's Long Halftime Walk,2016,113.0,"Action,Drama,Thriller","nm7153679, nm1330560, nm3594330, nm0497853",,,nm0000487,,"nm2905579, nm0180508, nm0686887","nm1697731, nm0144785",R,6.2,6.4,6.2,6.4,6.2,6.3,6.1,6.6,5.7,6.1,6.2,40000000,24336708,40.0,24.336708,0.6084177000000001
187,tt2527336,Star Wars: The Last Jedi,Star Wars: Episode VIII - The Last Jedi,2017,152.0,"Action,Adventure,Fantasy","nm3915784, nm0000434","nm5397459, nm0000402",nm0002354,nm0426059,,"nm0074851, nm0005086",nm0000184,PG-13,7.0,7.5,7.0,7.1,7.0,7.0,6.9,7.6,6.8,7.1,6.9,317000000,1332539889,317.0,1332.539889,4.203595864353312
188,tt2531344,Blockers,Blockers,2018,102.0,Comedy,"nm1078479, nm0054697","nm0005182, nm1105980",,nm0134224,,"nm1375358, nm1308622, nm1698571","nm1383738, nm1383078",R,6.1,6.3,6.2,6.3,6.1,6.3,6.1,6.3,5.7,6.4,6.0,21000000,94523781,21.0,94.523781,4.501132428571428
189,tt2543164,Arrival,Arrival,2016,116.0,"Drama,Mystery,Sci-Fi","nm0719637, nm0001845, nm0836121",nm0010736,,nm0898288,,"nm0511482, nm1362282, nm0506613","nm2104063, nm5384213",PG-13,7.9,7.9,7.9,8.2,7.8,8.2,7.8,8.1,7.3,8.0,7.9,47000000,203388186,47.0,203.388186,4.327408212765957
190,tt2543472,Wonder,Wonder,2017,113.0,"Drama,Family","nm5016878, nm0005562","nm4207679, nm0000210",,nm0154716,,"nm0509414, nm0387674","nm0175726, nm2113666, nm5383459",PG,7.9,8.2,8.0,8.1,7.9,8.0,7.8,8.2,7.2,7.9,7.9,20000000,305593765,20.0,305.593765,15.279688250000001
191,tt2547584,The Light Between Oceans,The Light Between Oceans,2016,133.0,"Drama,Romance",nm1055413,"nm2539953, nm0001838, nm6931628",nm0006035,nm0161834,,"nm0166641, nm0382268",nm5390305,PG-13,7.1,7.3,7.2,7.3,7.1,7.2,7.0,7.4,6.3,7.1,7.1,20000000,25905264,20.0,25.905264,1.2952632
192,tt2554274,Crimson Peak,Crimson Peak,2015,119.0,"Drama,Fantasy,Horror","nm1089991, nm0402271","nm1985859, nm1567113",nm1302939,nm0868219,,"nm0338696, nm0419169, nm2100078",nm0730422,R,6.4,6.8,6.5,6.7,6.4,6.6,6.4,6.9,6.4,6.6,6.5,55000000,74966854,55.0,74.966854,1.363033709090909
193,tt2555736,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,2015,122.0,"Comedy,Drama","nm0631490, nm2353862","nm0001132, nm0001749",nm0002353,nm0006960,,"nm0110357, nm0194446",nm0662530,PG,6.4,6.8,6.6,6.6,6.5,6.5,6.3,6.8,5.9,6.6,6.5,10000000,90384306,10.0,90.384306,9.0384306
194,tt2557478,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,111.0,"Action,Adventure,Sci-Fi","nm3915784, nm2207222, nm1218607",nm8314228,,nm0215299,,nm1212547,"nm3045440, nm2575780, nm2385905, nm2012438",PG-13,5.6,5.8,5.6,5.6,5.6,5.6,5.5,5.9,5.2,5.6,5.5,150000000,290930148,150.0,290.930148,1.93953432
195,tt2561572,Get Hard,Get Hard,2015,100.0,"Comedy,Crime","nm0002071, nm0366389, nm1939267",nm1555340,nm0065100,nm1000113,,nm0376260,"nm1007602, nm0731168, nm0570912",R,6.0,6.2,6.0,6.1,6.0,6.1,6.0,6.3,5.5,5.9,6.0,40000000,111811453,40.0,111.811453,2.795286325
196,tt2567026,Alice Through the Looking Glass,Alice Through the Looking Glass,2016,113.0,"Adventure,Family,Fantasy",nm0000136,"nm1985859, nm0000307, nm0004266",,nm0090386,,"nm0865189, nm0000318, nm0005387","nm0941314, nm0140902",PG,6.0,6.6,6.2,6.3,6.1,6.0,6.0,6.7,5.6,6.0,6.2,170000000,299455833,170.0,299.455833,1.7615048999999998
197,tt2568862,Going in Style,Going in Style,2017,96.0,"Comedy,Crime","nm0000323, nm0000273, nm0000369",nm0000268,nm1387379,nm0103785,,nm0209773,"nm0577647, nm0134191",PG-13,6.6,6.9,6.6,6.7,6.5,6.7,6.5,7.0,6.2,6.6,6.6,25000000,52488503,25.0,52.488503,2.09954012
